GCVI,GPP_mean (gC m-2 d-1)
2.066222814,3.432391304
1.759973965,4.55326087
2.294358723,5.15673913
2.412634668,0.418043478
2.688750997,5.486521739
2.211063964,3.240217391
2.03561024,3.336956522
2.675301157,3.340434783
1.682155418,3.198913043
2.106516312,4.459130435
4.197696275,7.806521739
2.549311792,6.233695652
1.149517685,3.691521739
2.014727974,4.02173913
2.287094908,4.199130435
1.582668339,3.699782609
1.640923032,3.603913043
2.159067818,3.640652174
2.253730526,4.708913043
1.745408723,3.581304348
2.133962664,5.300869565
1.909354074,3.624565217
1.381217713,3.648478261
1.581289532,4.078478261
1.823773274,4.942608696
2.337485667,5.416304348
1.015637548,3.492608696
1.592940304,5.211304348
1.37701909,5.066086957
3.405617594,4.137826087
2.761013365,2.262608696
2.574979076,3.926304348
1.567723011,3.481304348
1.280101218,3.732608696
1.905166041,0.013043478
3.48563805,4.648695652
1.457751432,3.809782609
3.235887361,6.522826087
0.600817303,3.235652174
2.281885264,4.114565217
2.643501873,4.791086957
2.189548207,4.580434783
3.380657093,5.200869565
1.179065285,2.956304348
2.772627829,4.888478261
2.41455481,4.592391304
2.813821558,5.722173913
1.282829241,4.630652174
3.302379314,4.729130435
2.370227901,4.784347826
0.751374894,2.243695652
1.410620291,3.591956522
1.408643521,3.358913043
1.994618091,4.058695652
1.048674769,3.721956522
1.81400732,4.86673913
1.417381845,3.569782609
2.868532281,5.446086957
2.555999552,4.350434783
1.789326138,4.393913043
1.69086267,3.496304348
1.547969043,4.165434783
1.69333928,3.235
1.987272301,3.36
3.568020548,4.221086957
0.501580043,3.411521739
2.088658397,4.417826087
2.680432664,3.687826087
2.699756671,4.401521739
1.305765021,3.271304348
1.954705229,4.984782609
2.004856449,3.744782609
1.717244644,4.35173913
1.372348792,3.747391304
1.386855329,2.968478261
2.129829675,3.159130435
3.641924671,8.188478261
1.406943946,5.985869565
1.616452804,3.639347826
1.686854024,4.193043478
1.809081965,3.295652174
3.032192543,4.747173913
1.962584079,4.382608696
2.602228943,4.924347826
1.769476997,4.358478261
1.962280971,4.341956522
1.301492217,2.86826087
2.074716426,6.032826087
1.214969372,3.836086957
2.263162817,4.00673913
1.678817663,3.032391304
2.012410527,4.62173913
1.458736589,3.323043478
1.52980354,3.449782609
0.913868533,2.00173913
2.038523637,3.313043478
1.484957282,3.159565217
1.509428826,2.90173913
1.582699019,3.510869565
2.688052685,4.285
2.845177952,5.733913043
3.222059898,4.521521739
1.905424356,5.214782609
1.671452501,3.445652174
1.572555852,3.738478261
1.712291326,3.359347826
1.511836436,3.92
1.347998749,3.737608696
1.653017464,4.665
1.761515686,4.48173913
1.831016429,3.800869565
2.247740939,4.251956522
2.590011766,3.171956522
1.832651192,4.591956522
1.679869152,3.541521739
3.801930941,4.85673913
1.430529553,0.012826087
2.550281942,4.29173913
1.568728249,3.742608696
1.427797316,0.012826087
1.662881476,4.559782609
2.772809531,4.020652174
2.26213577,5.67
1.522486276,3.244565217
2.512751889,4.352391304
1.731695986,3.535869565
1.473919634,3.555434783
1.752114147,4.373695652
1.546752676,4.109782609
1.563145869,3.626086957
3.813756666,0.317391304
1.72123654,4.008043478
1.594669524,5.506304348
2.378597173,3.577608696
1.742271264,5.173695652
1.163835926,2.366086957
1.925,4.535434783
2.625419223,4.512173913
2.180514067,3.751086957
1.446304902,4.397826087
1.673295344,0.013043478
2.541682853,3.824782609
1.675069061,3.178478261
2.103994146,7.162826087
1.620665666,4.135869565
1.519618942,3.24326087
2.923247735,4.566521739
2.778191055,4.870434783
2.027263591,2.83673913
1.669273916,4.900434783
2.128470822,4.11326087
1.985623785,4.594782609
1.719697189,3.414347826
1.895956371,4.170434783
3.565267925,4.014782609
2.197143974,3.690869565
2.028331893,3.892173913
0.257719286,2.233695652
1.108892331,3.75673913
2.105963461,4.114347826
1.969690051,0.013043478
2.527544625,4.747826087
2.399160091,3.35326087
1.559154029,2.800434783
2.034514109,3.218478261
1.402020592,3.569565217
1.869076631,3.053913043
2.232830552,5.928043478
1.730641534,2.86826087
1.774284938,3.276521739
2.067068555,2.852173913
2.942630892,6.552826087
1.658352262,3.708695652
1.819915089,3.959347826
1.798674075,4.347173913
2.196795657,5.055652174
1.410338691,4.504782609
1.70251966,3.628913043
0.809758249,4.09326087
1.731304348,3.49173913
3.017413114,3.359130435
2.471735038,3.890869565
1.57520826,5.23173913
1.813002978,5.105652174
2.430991017,4.397826087
1.401320728,5.105652174
0.247525552,4.869565217
1.804444122,3.968043478
1.635475151,4.435869565
1.876166474,4.109782609
3.247473991,7.310434783
1.682855824,6.295652174
2.09562929,4.219565217
1.446047654,3.342608696
2.804561673,4.101086957
2.833289764,3.521521739
1.747374805,3.581956522
2.186758718,3.971304348
2.96506364,4.077173913
1.794694559,4.119565217
0.132169871,2.558043478
1.449155207,4.316304348
2.262539068,7.391521739
2.154024205,6.090869565
2.124603412,4.350217391
2.009615385,3.990434783
1.349521468,3.455869565
1.388941515,0.013043478
2.066421019,5.307391304
1.942433855,4.294130435
2.077015753,4.33673913
1.851951641,3.344565217
3.1727162,3.622391304
1.820999117,3.486304348
1.685530582,1.918478261
2.164401294,3.601956522
1.741145047,4.188695652
2.153498735,5.165
2.921928527,4.750217391
1.618827112,3.481956522
2.033879273,3.705869565
1.937257195,4.144565217
2.297748022,3.569130435
2.141087285,8
1.571907699,4.262608696
2.742198582,4.113695652
3.037074559,4.322391304
2.966053201,4.033913043
2.004080031,6.311086957
2.130693912,4.134130435
2.278555312,3.640652174
1.94338313,3.333913043
1.618227485,3.544565217
2.321669283,4.324782609
2.452633119,5.258043478
1.559455782,3.327826087
1.849798587,4.45
0.812889676,3.704782609
1.439865215,4.224565217
3.192101404,4.480869565
1.634910887,4.079782609
1.192130852,0.725652174
2.743895055,4.219130435
2.43502815,10.09782609
2.515113936,4.028478261
1.080390217,3.250217391
2.496214109,4.334130435
2.708539545,4.766304348
1.706762629,3.162391304
2.105264749,4.014130435
2.07539663,4.118478261
2.11901653,4.895869565
3.68562758,6.156304348
1.432698791,3.296086957
1.668099989,4.309130435
2.259934832,4.484130435
1.091194455,2.977608696
3.360970653,3.068913043
3.336895613,4.078478261
2.328571673,4.453478261
1.954443889,3.755652174
2.116695599,3.656956522
3.017160444,4.375
1.651393213,4.332173913
1.614094817,3.145217391
3.104191662,4.344130435
2.084687892,4.600652174
2.302527383,4.371304348
2.585043491,3.667173913
2.140823062,3.933043478
1.944453405,4.056956522
1.467915957,4.627173913
2.013102152,3.448043478
